Experiment,Metric,Compute Time (s),Communication Time (s),Total Time (s),Compute Energy (J),Communication Energy (J),Total Energy (J),Accuracy Loss (%),SRAM Wait Time (s)
17,Energy,0.10267115477582839,0.044001923475355025,0.14667307825118342,1.3559589172799997,0.33898972931999993,1.6949486465999997,3.7641813472109407,0.014667307825118343
17,Accuracy,0.0992542169590643,0.042537521553884704,0.14179173851294902,1.3560861746399997,0.3390215436599999,1.6951077182999996,0.11460273374989896,0.014179173851294902
18,Performance,0.08543742846003903,0.036616040768588154,0.12205346922862718,1.3559730616,0.3389932654,1.694966327,3.6745605724756154,0.01220534692286272
18,Energy,0.107188068031189,0.04593774344193814,0.15312581147312715,1.355962442,0.3389906105,1.6949530525,3.6745605724756154,0.015312581147312716
18,Accuracy,0.09680656900584793,0.041488529573934826,0.13829509857978275,1.3560523261600002,0.33901308154000004,1.6950654077,0.14104373914552867,0.013829509857978275
19,Performance,0.08426458245614041,0.03611339248120303,0.12037797493734344,1.3559787052,0.3389946763,1.6949733815,3.758252189236281,0.012037797493734344
19,Energy,0.08587472358674468,0.036803452965747725,0.12267817655249241,1.3559714191200003,0.3389928547800001,1.6949642739000002,3.764588619736292,0.012267817655249242
19,Accuracy,0.12526371345029236,0.053684448621553874,0.17894816207184625,1.3561021563199998,0.33902553907999994,1.6951276953999996,0.06824581095091986,0.017894816207184625
20,Performance,0.08277777914230024,0.03547619106098582,0.11825397020328605,1.35604318592,0.33901079648,1.6950539824,3.7190716770761947,0.011825397020328606
20,Energy,0.10321311715399606,0.044234193065998316,0.14744731021999438,1.35598093328,0.33899523332,1.6949761665999998,3.265779094574389,0.01474473102199944
20,Accuracy,0.13387969999999993,0.05737701428571426,0.19125671428571422,1.3560610111999998,0.33901525279999994,1.6950762639999997,0.12125982981227437,0.019125671428571425
21,Performance,0.08189467153996106,0.035097716374269027,0.1169923879142301,1.35599783784,0.33899945946,1.6949972972999998,3.718323124256548,0.011699238791423011
21,Energy,0.09892961715399606,0.042398407351712596,0.14132802450570867,1.35597229664,0.33899307416,1.6949653707999999,3.75048412773972,0.014132802450570867
21,Accuracy,0.15979360545808963,0.0684829737677527,0.22827657922584232,1.3560951038400002,0.33902377596000005,1.6951188798,0.11267645831080447,0.022827657922584232
22,Performance,0.08028011988304098,0.03440576566416042,0.11468588554720141,1.35598489544,0.33899622386,1.6949811193,3.7031828241307587,0.011468588554720141
22,Energy,0.08245235867446399,0.03533672514619885,0.11778908382066285,1.3559618740800001,0.33899046852000003,1.6949523426,3.7179062478111327,0.011778908382066286
22,Accuracy,0.15379472690058474,0.06591202581453633,0.21970675271512108,1.35605271856,0.33901317964,1.6950658981999998,0.12007807718803809,0.02197067527151211
23,Performance,0.08610272690058482,0.03690116867167921,0.12300389557226404,1.35603033352,0.33900758338,1.6950379168999998,1.3822367881676145,0.012300389557226406
23,Energy,0.088062362962963,0.037741012698412714,0.12580337566137573,1.35598150608,0.33899537652,1.6949768826,3.7448771017922606,0.012580337566137573
23,Accuracy,0.1215966785575048,0.05211286223893063,0.17370954079643544,1.35606645592,0.33901661398,1.6950830699,0.12173634265024881,0.017370954079643546
24,Performance,0.08108136081871348,0.03474915463659149,0.11583051545530498,1.35600852576,0.33900213144,1.6950106571999999,3.727603451364346,0.0115830515455305
24,Energy,0.08170960350877196,0.035018401503759414,0.11672800501253137,1.3559692286400002,0.33899230716000006,1.6949615358,3.7134891653105293,0.011672800501253138
24,Accuracy,0.10785067251461984,0.04622171679197993,0.15407238930659978,1.35614332208,0.33903583052,1.6951791526,0.06053707134887611,0.015407238930659978
1,Performance,0.07841697543859653,0.033607275187969944,0.11202425062656649,1.35596672384,0.33899168096,1.6949584048,3.292282175026922,0.01120242506265665
1,Energy,0.10125717777777772,0.04339593333333331,0.14465311111111104,1.35595612664,0.33898903166,1.6949451583,3.292282175026922,0.014465311111111104
1,Accuracy,0.17342610428849897,0.07432547326649956,0.24775157755499855,1.35603673496,0.33900918374,1.6950459187,0.1263704269202253,0.024775157755499856
1,Performance,0.08019025009746594,0.03436725004177112,0.11455750013923707,1.3559701085600002,0.33899252714000006,1.6949626357,3.292282175026922,0.011455750013923708
1,Energy,0.08676831773879148,0.037186421888053496,0.12395473962684499,1.355960948,0.338990237,1.694951185,3.292282175026922,0.012395473962684499
1,Accuracy,0.15302143625730988,0.0655806155388471,0.218602051796157,1.35605762456,0.33901440614,1.6950720307,0.11306827671809631,0.0218602051796157
1,Performance,0.08484556120857704,0.036362383375104446,0.12120794458368149,1.35606558736,0.33901639684,1.6950819842,3.4759728862654273,0.01212079445836815
1,Energy,0.1118705647173489,0.047944527736006666,0.15981509245335557,1.3559764693599998,0.33899411733999996,1.6949705866999998,3.686833685953665,0.01598150924533556
1,Accuracy,0.19948086315789468,0.08549179849624057,0.28497266165413526,1.3560648876,0.3390162219,1.6950811095,0.11179867976023752,0.028497266165413527
1,Performance,0.11287002283486502,0.0009081126000000004,45.373634339461944
1,Energy,0.11909449317738799,0.0008275345000000004,31.38642340192332
1,Accuracy,0.17837880646059587,0.0009787062,0.19953225303193464
1,Performance,0.08019025009746594,0.03436725004177112,0.11455750013923707,1.3559701085600002,0.33899252714000006,1.6949626357,3.292282175026922,0.011455750013923708
