Experiment,Metric,Compute Time (s),Communication Time (s),Total Time (s),Compute Energy (J),Communication Energy (J),Total Energy (J),Accuracy Loss (%),SRAM Wait Time (s)
16,Accuracy,0.11314688810916175,0.04849152347535504,0.1616384115845168,1.3560745771199998,0.33901864427999995,1.6950932213999996,0.12124283332297482,0.01616384115845168
17,Performance,0.08398845516569203,0.03599505221386801,0.11998350737956005,1.35599698192,0.33899924548,1.6949962273999999,3.863604609457391,0.011998350737956007
17,Energy,0.09938700311890837,0.04259442990810359,0.14198143302701197,1.35597715312,0.33899428828,1.6949714414,3.86035447651488,0.014198143302701197
17,Accuracy,0.16263823840155942,0.0697021021720969,0.23234034057365632,1.3561001388000005,0.3390250347000001,1.6951251735000004,0.10106723444088148,0.023234034057365634
18,Performance,0.08537818693957117,0.036590651545530505,0.12196883848510168,1.35609801768,0.33902450442,1.6951225220999997,3.7337756832020714,0.012196883848510169
18,Energy,0.0956559438596491,0.040995404511278186,0.1366513483709273,1.3559931176799997,0.33899827941999994,1.6949913970999997,3.718689720845699,0.01366513483709273
18,Accuracy,0.11965241325536057,0.05127960568086882,0.1709320189362294,1.3560706174399995,0.33901765435999986,1.6950882717999993,0.12213493621578957,0.01709320189362294
19,Performance,0.0834882270955166,0.0357806687552214,0.11926889585073801,1.35599971808,0.33899992952,1.6949996476,3.83094175207552,0.011926889585073801
19,Energy,0.08479691052631581,0.036341533082706774,0.1211384436090226,1.3559925628799998,0.33899814071999995,1.6949907035999996,3.7993881167680863,0.01211384436090226
19,Accuracy,0.10956516569200776,0.04695649958228904,0.1565216652742968,1.35614097944,0.33903524486,1.6951762242999997,0.04614847330244592,0.015652166527429682
20,Performance,0.08323479161793375,0.03567205355054304,0.1189068451684768,1.35598728616,0.33899682154,1.6949841076999999,3.833942469358067,0.011890684516847681
20,Energy,0.10403185165692,0.04458507928153715,0.14861693093845715,1.3559657068,0.3389914267,1.6949571334999998,3.826934596205804,0.014861693093845716
20,Accuracy,0.1352710497076023,0.05797330701754384,0.19324435672514614,1.35611240864,0.33902810216,1.6951405108,0.0695806290219237,0.019324435672514614
21,Performance,0.08379131871345033,0.03591056516290728,0.11970188387635762,1.3560043216799997,0.33900108041999993,1.6950054020999996,3.7634938498604322,0.011970188387635763
21,Energy,0.08714458440545812,0.03734767903091062,0.12449226343636875,1.35597869704,0.33899467426,1.6949733713,3.8017832868956005,0.012449226343636877
21,Accuracy,0.15985442768031186,0.06850904043441937,0.22836346811473124,1.35614544472,0.33903636118,1.6951818059,0.04608222165934061,0.022836346811473125
22,Performance,0.08187572124756341,0.03508959482038432,0.11696531606794773,1.35599457608,0.33899864402,1.6949932201,3.7822575792310786,0.011696531606794774
22,Energy,0.10419469181286542,0.04465486791979947,0.1488495597326649,1.35597730624,0.33899432656,1.6949716328,3.825927994383489,0.01488495597326649
22,Accuracy,0.15510628284600386,0.06647412121971594,0.2215804040657198,1.3560598360000002,0.33901495900000006,1.6950747950000002,0.22459709832715472,0.02215804040657198
23,Performance,0.08353676413255365,0.03580147034252299,0.11933823447507665,1.3559905403199999,0.33899763507999997,1.6949881753999998,3.8294596876160933,0.011933823447507666
23,Energy,0.0897602007797271,0.0384686574770259,0.128228858256753,1.3559794344,0.3389948586,1.694974293,3.8151312592591484,0.012822885825675302
23,Accuracy,0.09860294561403506,0.04225840526315788,0.14086135087719295,1.3560691547199997,0.3390172886799999,1.6950864433999995,0.1238176473593233,0.014086135087719297
24,Performance,0.07938338284600394,0.03402144979114454,0.11340483263714848,1.3559647508800001,0.33899118772000003,1.6949559386000002,3.7751587841168224,0.011340483263714849
24,Energy,0.07938338284600394,0.03402144979114454,0.11340483263714848,1.3559647508800001,0.33899118772000003,1.6949559386000002,3.7751587841168224,0.011340483263714849
24,Accuracy,0.15477335594541902,0.06633143826232245,0.22110479420774148,1.3560555825599998,0.33901389563999995,1.6950694781999995,0.12202533443609931,0.02211047942077415
2,Performance,0.08105832436647178,0.034739281871345055,0.11579760623781685,1.3560237528,0.3390059382,1.695029691,3.7522321975605717,0.011579760623781686
2,Energy,0.13060844054580892,0.05597504594820382,0.18658348649401274,1.3559910664800001,0.33899776662000003,1.6949888331,3.7516172717205873,0.018658348649401274
2,Accuracy,0.165137381871345,0.07077316365914786,0.23591054553049287,1.3561166576800001,0.33902916442000003,1.6951458221,0.11393808319314211,0.023591054553049287
4,Performance,0.07974189161793376,0.034175096407685894,0.11391698802561966,1.3559749239999999,0.33899373099999996,1.6949686549999998,3.7342362420783193,0.011391698802561967
4,Energy,0.10714311150097458,0.045918476357560536,0.15306158785853513,1.3559666321599997,0.3389916580399999,1.6949582901999996,3.7342362420783193,0.015306158785853514
4,Accuracy,0.10036657992202726,0.04301424853801168,0.14338082846003894,1.3560799684799998,0.33901999211999995,1.6950999605999997,0.12025668726788658,0.014338082846003894
5,Performance,0.08764080760233921,0.03756034611528823,0.12520115371762744,1.35600280016,0.33900070004,1.6950035002,3.3066170843881046,0.012520115371762744
5,Energy,0.10971582670565298,0.04702106858813699,0.15673689529378998,1.3559867744799998,0.33899669361999996,1.6949834680999998,3.3101683545877036,0.015673689529379
5,Accuracy,0.12328048752436642,0.052834494653299896,0.17611498217766633,1.35610205752,0.33902551438,1.6951275718999999,0.06859868273214711,0.017611498217766634
6,Performance,0.08265429590643278,0.03542326967418548,0.11807756558061827,1.35599924064,0.33899981016,1.6949990508,3.533762573047103,0.011807756558061829
6,Energy,0.08835028615984408,0.03786440835421889,0.12621469451406298,1.35598680376,0.33899670094,1.6949835047,3.2909564046793043,0.012621469451406298
6,Accuracy,0.12227140994152039,0.05240203283208016,0.17467344277360056,1.35609692336,0.33902423084,1.6951211541999998,0.08356248173257673,0.017467344277360058
8,Performance,0.07957840272904486,0.03410502974101923,0.1136834324700641,1.3559757721599999,0.33899394303999997,1.6949697151999998,3.7815811420071155,0.011368343247006411
8,Energy,0.10530627582845994,0.04513126106933998,0.15043753689779993,1.3559632681599998,0.33899081703999995,1.6949540851999996,3.7537060497078882,0.015043753689779994
8,Accuracy,0.1444065192982456,0.061888508270676684,0.2062950275689223,1.3561072846399997,0.33902682115999994,1.6951341057999996,0.06830747489019051,0.02062950275689223
10,Performance,0.08420987524366476,0.036089946532999184,0.12029982177666394,1.3560040075200002,0.33900100188000004,1.6950050094,3.2288518096662724,0.012029982177666395
10,Energy,0.134731998245614,0.05774228496240599,0.19247428320802,1.3559781326399998,0.33899453315999994,1.6949726657999997,3.2288518096662724,0.019247428320802
10,Accuracy,0.12008195808966855,0.051463696324143667,0.17154565441381223,1.3561036812799996,0.3390259203199999,1.6951296015999995,0.0677921244557657,0.017154565441381223
11,Performance,0.07800031851851856,0.033428707936507956,0.11142902645502652,1.35599419504,0.33899854876,1.6949927437999999,3.7371295174766477,0.011142902645502653
11,Energy,0.10067656159844049,0.04314709782790307,0.14382365942634356,1.3559670845599998,0.33899177113999995,1.6949588556999997,3.7307486643651733,0.014382365942634357
11,Accuracy,0.09601332962962959,0.04114856984126983,0.13716189947089943,1.3560769028,0.3390192257,1.6950961284999997,0.22670913300827372,0.013716189947089945
12,Performance,0.07964066257309946,0.034131712531328344,0.11377237510442781,1.35595851224,0.33898962806,1.6949481403,3.726747172712078,0.011377237510442782
12,Energy,0.08016203508771935,0.034355157894736865,0.11451719298245622,1.35595493248,0.33898873312,1.6949436655999999,3.7079996975190834,0.011451719298245622
12,Accuracy,0.12143912339181281,0.05204533859649121,0.17348446198830403,1.3560962927999998,0.33902407319999994,1.6951203659999996,0.08257259260262413,0.017348446198830404
14,Performance,0.081013640545809,0.03472013166248957,0.11573377220829857,1.35599916656,0.33899979164,1.6949989581999998,3.7839963094797016,0.011573377220829857
14,Energy,0.08177507777777782,0.035046461904761926,0.11682153968253975,1.3559680252000001,0.33899200630000004,1.6949600315,3.777701240650963,0.011682153968253976
14,Accuracy,0.13380893216374262,0.05734668521303256,0.1911556173767752,1.3561804595199998,0.33904511487999994,1.6952255743999995,0.0457391913534415,0.01911556173767752
16,Performance,0.0813868257309942,0.03488006817042609,0.1162668939014203,1.3559691024800002,0.33899227562000006,1.6949613781000001,3.7438449970746897,0.01162668939014203
16,Energy,0.08496245692007802,0.03641248153717629,0.12137493845725432,1.3559593807199999,0.33898984517999997,1.6949492258999999,3.749672481797793,0.012137493845725433
16,Accuracy,0.14796869922027286,0.06341515680868838,0.21138385602896126,1.3560861944799998,0.33902154861999995,1.6951077430999997,0.11311311493005469,0.021138385602896128
17,Performance,0.08196509668615988,0.0351278985797828,0.11709299526594269,1.35599895952,0.33899973988,1.6949986994,3.3337427401652797,0.01170929952659427
17,Energy,0.10490103450292394,0.04495758621553884,0.1498586207184628,1.3559882892,0.3389970723,1.6949853614999997,3.33299036296918,0.01498586207184628
17,Accuracy,0.1675006838206627,0.07178600735171257,0.23928669117237528,1.3561477624,0.3390369406,1.6951847029999998,0.06182169529878743,0.02392866911723753
18,Performance,0.0833883676413256,0.035737871846282396,0.11912623948760799,1.3559932835200001,0.33899832088000004,1.6949916044,3.7019353494108467,0.0119126239487608
18,Energy,0.10620452027290446,0.04551622297410191,0.15172074324700638,1.35597661224,0.33899415306,1.6949707653,3.7206531093359327,0.015172074324700639
18,Accuracy,0.11969597563352824,0.05129827527151211,0.17099425090504036,1.35608928792,0.33902232198,1.6951116098999999,0.1148502465280342,0.017099425090504036
19,Performance,0.08225908499025344,0.035253893567251476,0.11751297855750492,1.35598070616,0.33899517654,1.6949758826999999,3.801385324692283,0.011751297855750492
19,Energy,0.08609764385964916,0.03689899022556393,0.1229966340852131,1.35596612856,0.33899153214,1.6949576606999999,3.7949195896683032,0.01229966340852131
19,Accuracy,0.12241545185185179,0.05246376507936506,0.17487921693121686,1.3560840346399998,0.33902100865999996,1.6951050432999997,0.11940586799694657,0.017487921693121685
20,Performance,0.08286537738791427,0.03551373316624897,0.11837911055416325,1.3559820661600002,0.33899551654000004,1.6949775827,3.80183811016664,0.011837911055416326
20,Energy,0.09514899083820665,0.04077813893065999,0.13592712976886664,1.35596627816,0.33899156954,1.6949578476999998,3.80183811016664,0.013592712976886665
20,Accuracy,0.17149023703703697,0.07349581587301585,0.24498605291005285,1.3560948661600003,0.3390237165400001,1.6951185827000002,0.06938959881937012,0.024498605291005286
21,Performance,0.08585536101364527,0.03679515472013369,0.12265051573377897,1.35602162096,0.33900540524,1.6950270261999998,3.2934722601437945,0.012265051573377898
21,Energy,0.1531959475633528,0.06565540609857977,0.2188513536619326,1.3560008027999997,0.3390002006999999,1.6950010034999994,3.7565828686322753,0.02188513536619326
21,Accuracy,0.18727740740740734,0.080261746031746,0.26753915343915335,1.3561900120799997,0.3390475030199999,1.6952375150999994,0.09807704247418685,0.026753915343915337
22,Performance,0.084740069005848,0.03631717243107772,0.12105724143692573,1.35599845584,0.33899961396,1.6949980698,3.7585687322604895,0.012105724143692573
22,Energy,0.08934069083820666,0.03828886750208857,0.12762955834029524,1.3559901558399998,0.33899753895999996,1.6949876947999998,3.7585687322604895,0.012762955834029525
22,Accuracy,0.14276653333333333,0.06118565714285714,0.20395219047619048,1.3561188517599998,0.33902971293999995,1.6951485646999997,0.06078909083142966,0.02039521904761905
23,Performance,0.08212469161793376,0.035196296407685894,0.11732098802561966,1.3559988244799999,0.33899970611999997,1.6949985305999997,3.58486763673764,0.011732098802561966
23,Energy,0.08599015964912284,0.03685292556390979,0.12284308521303264,1.3559723428000001,0.33899308570000003,1.6949654285,3.827983947335131,0.012284308521303265
23,Accuracy,0.10214157680311889,0.04377496148705095,0.14591653829016984,1.3561152123999998,0.33902880309999994,1.6951440154999997,0.0846797262235711,0.014591653829016985
24,Performance,0.08002009824561408,0.034294327819548893,0.11431442606516298,1.3559723155999999,0.33899307889999997,1.6949653944999998,3.758655093825722,0.011431442606516299
24,Energy,0.08441893508771933,0.03617954360902257,0.12059847869674191,1.3559599712800001,0.33898999282000003,1.6949499641,3.7970068678296776,0.012059847869674192
24,Accuracy,0.10937240077972706,0.04687388604845445,0.1562462868281815,1.3560593028000003,0.3390148257000001,1.6950741285000002,0.14431034223862807,0.01562462868281815
